Combination of Genres,Average Revenue
Adventure|Family|Science Fiction,71992655.0
Science Fiction|Mystery|Adventure,71923560.0
Drama|Mystery|Thriller|Crime,71832359.25
Action|Comedy|Thriller|Crime,71255003.0
Fantasy|Family|Animation|Adventure,71215869.0
Action|Comedy|Thriller|Crime|Family,71079915.0
Romance|Fantasy|Drama|Comedy,71074049.0
Horror|Comedy|Fantasy|Thriller,71041255.0
Comedy|Romance|Drama,70938617.45714286
Comedy|Fantasy|Horror,70929720.0
Adventure|Horror|Action|History,70752904.0
Adventure|Action|Comedy|Romance,70719096.2
Drama|History|Mystery|Thriller,70600000.0
Adventure|Drama|Romance,70595837.0
Drama|Action|Thriller|Science Fiction,70595464.0
War|History|Adventure|Drama,69995385.0
Drama|Action|History,69802362.0
Crime|Mystery|Thriller,69779729.57142857
Comedy|Action|Adventure|Thriller,69631118.0
War|Action|History|Thriller|Drama,69411370.0
Drama|War,69261510.57692307
Action|Drama|Mystery|Thriller|Crime,69244778.5
Comedy|Family|Romance,69160052.0
Family|Adventure|Comedy|Drama|Fantasy,69131860.0
Action|Drama|Fantasy|Mystery|Science Fiction,69000000.0
Action|Adventure|Drama|Fantasy,68986828.25
History|Drama,68986097.0
Adventure|Comedy|Drama|Fantasy,68855107.33333333
Comedy|Romance,68533545.91542289
Adventure|Fantasy|Animation|Action|Family,68411275.0
Horror|Crime,68075217.0
Action|Thriller|Adventure|Crime,67921573.0
Horror|Action|Fantasy,67918658.0
Adventure|Action|Animation,67690089.66666667
Science Fiction|Comedy|Crime,67683989.0
Action|Drama|Romance|Thriller,67091915.0
Adventure|Drama|Action|History|War,66976317.0
Comedy|Adventure|Family|Fantasy,66909141.5
Adventure|Comedy|Family,66711660.166666664
Fantasy|Adventure|Comedy|Family,66450000.0
Thriller|Drama|History,66410358.0
Adventure,66177464.833333336
Family|Drama|Music,66122026.0
Comedy|Family|Adventure|Fantasy|Romance,66002004.0
Family|Action|Adventure|Science Fiction|Fantasy,66000000.0
Drama|Thriller|Action,65573466.0
Drama|Comedy|Crime,65369993.25
Family|Action|Adventure|Comedy|Fantasy,65270477.0
